Hong Kong Exchanges and Clearing Limited 
          今天截至上午收市主板之證券賣空成交量
          賣空紀錄                         日期 : 14 APR 2025

                                          成交量
  代號   股票名稱                    股數           金額 
    995  安徽皖通高速公路          86,000        960,480
    998  中信銀行　　　　       2,479,000     14,824,470
   1024  快手－Ｗ　　　　       3,196,000    162,293,090
   1030  新城發展　　　　       3,008,000      5,913,480
   1033  中石化油服　　　         448,000        269,800
   1038  長江基建集團　　         332,500     16,093,125
   1044  �琣w國際　　　　         579,000     12,008,350
   1052  越秀交通基建　　          22,000         75,760
   1055  中國南方航空股份         932,000      3,104,920
   1060  阿里影業　　　　       1,310,000        673,300
   1066  威高股份　　　　         166,000        967,240
   1070  ＴＣＬ電子　　　       1,444,000     11,950,080
   1071  華電國際電力股份          88,000        370,120
   1072  東方電氣　　　　          96,600        961,102
   1083  港華智慧能源　　         174,000        603,400
   1088  中國神華　　　　       1,461,000     45,217,700
   1093  石藥集團　　　　      23,274,000    127,349,940
   1099  國藥控股　　　　         513,200      9,258,320
   1109  華潤置地　　　　       2,260,000     60,165,850
   1112  Ｈ＆Ｈ國際控股　         119,500      1,175,320
   1113  長實集團　　　　         634,000     18,922,050
   1114  BRILLIANCE CHI        3,118,000      8,267,600
   1117  現代牧業　　　　       5,975,000      6,687,830
   1119  創夢天地　　　　          43,600         37,672
   1128  永利澳門　　　　         415,600      2,102,680
   1133  哈爾濱電氣　　　         290,000      1,233,920
   1138  中遠海能　　　　         876,000      4,933,980
   1157  中聯重科　　　　         578,600      3,196,970
   1164  中廣核礦業　　　         630,000        883,250
   1171  兗礦能源　　　　       2,012,000     16,118,940
   1177  中國生物製藥　　      17,297,000     64,361,190
   1179  華住集團－Ｓ　　       1,057,700     26,977,550
   1186  中國鐵建　　　　          82,500        407,885
   1193  華潤燃氣　　　　         215,800      4,716,640
   1196  偉祿集團　　　　          30,000        212,080
   1199  中遠海運港口　　         148,000        602,100
   1208  五礦資源　　　　       6,096,000     14,437,320
   1209  華潤萬象生活　　         499,000     18,122,390
   1211  比亞迪股份　　　       2,687,500  1,009,998,200
   1234  中國利郎　　　　          50,000        178,540
   1258  中國有色礦業　　         908,000      4,388,180
   1268  美東汽車　　　　         316,000        648,100
   1274  知行科技　　　　           6,800         93,334
   1277  力量發展　　　　       1,336,000      1,563,600
   1280  奇點國峰　　　　         112,000        476,380
   1288  農業銀行　　　　      14,343,000     64,335,150
   1299  友邦保險　　　　       3,965,000    206,045,120
   1302  先健科技　　　　         852,000      1,234,200
   1308  海豐國際　　　　         111,000      2,162,040
   1310  香港寬頻　　　　         396,500      2,022,150
   1313  華潤建材科技　　         332,000        580,200
   1316  耐世特　　　　　       2,103,000      8,802,690
   1336  新華保險　　　　       1,018,200     28,347,535
   1339  中國人民保險集團       2,446,000      9,771,530
   1341  昊天國際建投　　           8,000          3,800
   1347  華虹半導體　　　       3,325,000    120,250,500
   1349  復旦張江　　　　          38,000         90,720
   1357  美圖公司　　　　       1,502,000      7,473,355
   1359  中國信達　　　　      11,871,000     11,955,090
   1361  ３６１度　　　　          56,000        241,840
   1368  特步國際　　　　         250,000      1,232,670
   1375  中州證券　　　　         170,000        251,800
   1378  中國宏橋　　　　       3,206,500     43,347,470
   1381  粵豐環保　　　　          18,000         85,500
   1382  互太紡織　　　　         207,000        250,420
   1385  上海復旦　　　　          95,000      2,611,100
   1398  工商銀行　　　　      25,626,000    135,320,020
   1405  達勢股份　　　　           4,600        442,860
   1415  高偉電子　　　　       1,907,000     42,299,700
   1428  耀才證券金融　　         302,000        775,240
   1448  福壽園　　　　　       1,222,000      4,432,710
   1456  國聯民生　　　　          15,500         54,465
   1458  周黑鴨　　　　　         602,000      1,349,310
   1477  歐康維視生物－Ｂ         117,000        585,960
   1478  丘鈦科技　　　　         284,000      1,871,750
   1508  中國再保險　　　       1,531,000      1,289,830
   1513  麗珠醫藥　　　　          57,700      1,528,140
   1515  華潤醫療　　　　         963,500      3,497,425
   1516  融創服務　　　　          61,000        101,230
   1519  極兔速遞－Ｗ　　       2,610,000     14,321,376
   1523  珩灣科技　　　　          43,000        222,660
   1528  紅星美凱龍　　　         506,000        701,876
   1530  三生製藥　　　　       6,753,000     88,444,580
   1541  宜明昂科－Ｂ　　          27,200        147,662
   1548  金斯瑞生物科技　         588,000      6,265,160
   1558  東陽光長江藥業　         197,600      2,175,064
   1578  天津銀行　　　　           2,000          3,580
   1579  頤海國際　　　　         156,000      2,104,020
   1585  雅迪控股　　　　         308,000      4,611,360
   1606  國銀金租　　　　         124,000        136,640
   1610  中糧家佳康　　　       2,461,000      3,758,240
   1618  中國中冶　　　　         623,000        933,010
   1651  津上機床中國　　          74,000      1,466,950
   1658  郵儲銀行　　　　       6,700,000     31,576,820
   1666  同仁堂科技　　　         156,000        737,650
   1675  亞信科技　　　　         518,000      4,097,232
   1681  康臣葯業　　　　         100,000        976,660
   1686  新意網集團　　　         627,000      3,905,370
   1691  ＪＳ環球生活　　       2,801,000      4,821,755
